ae
29, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 0.000001, 0.002813, 0.017383, 0.001092, 0.001310, 0.001530, 0.001980, 0.001914, 0.002744, 0.003637, 0.005378, 0.007237, 0.011688, 0.016909, 0.028627, 0.042728, 0.065416, 0.095099, 0.131062, 0.195652, 0.483573, 0.829918, 1.888176, 3.482446, 0.050977
30, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 51.3, 0.000001, 0.002814, 0.017570, 0.001201, 0.001157, 0.001525, 0.001783, 0.002177, 0.002562, 0.004077, 0.005183, 0.007140, 0.011136, 0.016594, 0.027592, 0.041809, 0.062427, 0.089461, 0.125682, 0.197090, 0.465571, 0.780742, 1.742514, 3.261081, 0.055105
31, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 0.000001, 0.002918, 0.017813, 0.001280, 0.001268, 0.001588, 0.001818, 0.002071, 0.002628, 0.003799, 0.005160, 0.007376, 0.011547, 0.016796, 0.028162, 0.043060, 0.063729, 0.092058, 0.128187, 0.188814, 0.466802, 0.779252, 1.759975, 3.266795, 0.111447
32, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 51.2, 0.000001, 0.002959, 0.019272, 0.001159, 0.001329, 0.001695, 0.001845, 0.002048, 0.002863, 0.003768, 0.005406, 0.007209, 0.011514, 0.017335, 0.028316, 0.042207, 0.064654, 0.091685, 0.128630, 0.190834, 0.470486, 0.799219, 1.757863, 3.283022, 0.086249
33, 57.8, 57.6, 57.8, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 0.000001, 0.003231, 0.019845, 0.001201, 0.001551, 0.001581, 0.001979, 0.002151, 0.002734, 0.003813, 0.005597, 0.007268, 0.010992, 0.016771, 0.027212, 0.039612, 0.066207, 0.088792, 0.119756, 0.171718, 0.505486, 0.772931, 1.653718, 3.022823, 0.090892
34, 57.7, 57.6, 57.7, 57.7, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 0.000001, 0.003415, 0.024724, 0.001250, 0.001612, 0.001618, 0.002166, 0.002203, 0.003173, 0.004146, 0.006038, 0.007970, 0.016197, 0.018920, 0.035346, 0.049700, 0.072138, 0.104532, 0.145671, 0.215519, 0.534342, 0.831487, 1.836629, 3.341958, 0.076518
35, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 0.000001, 0.004879, 0.027753, 0.001261, 0.001565, 0.001643, 0.002189, 0.002350, 0.003021, 0.004198, 0.006075, 0.008605, 0.013457, 0.019706, 0.032017, 0.047290, 0.074178, 0.103706, 0.139901, 0.203256, 0.489207, 0.798324, 1.795212, 3.349029, 0.082432
36, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 57.6, 0.000001, 0.003936, 0.020939, 0.001347, 0.001565, 0.001760, 0.002202, 0.002242, 0.003210, 0.004440, 0.006519, 0.008506, 0.013413, 0.020101, 0.033037, 0.048459, 0.077310, 0.107514, 0.146579, 0.213901, 0.589791, 0.936074, 2.039347, 3.665345, 0.089395
ghz
28, 44.8, 35.9, 44.8, 44.8, 41.5, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 35.9, 0.000000, 0.001933, 0.015452, 0.000893, 0.001058, 0.001334, 0.001441, 0.001525, 0.002220, 0.003360, 0.004732, 0.006842, 0.010757, 0.015712, 0.025528, 0.038201, 0.056967, 0.081509, 0.114666, 0.167983, 0.432620, 0.749572, 1.657715, 2.979249, 0.000000
